ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"89.249.250.29","elite","AS31370","RU","Mosline ISP","53","OOO Montaj Telecom Service","4145","socks4","885","1","2023-01-26T11:08:17.641Z","99","886","899"
"196.2.15.68","anonymous","AS25429","BI","CBINET Burundi","228","Cbinet SA","8080","http","522","677","2023-01-26T11:08:17.958Z","86","751","875"
"195.154.67.61","anonymous","AS12876","FR","Online S.A.S.","2","ONLINE","3128","http","163","220","2023-01-26T11:08:17.236Z","100","815","815"
"178.212.65.61","elite","AS47939","UA","TDV \"Teleradio company \"Yalta\"","75","Yaltatvnet","3629","socks4","1028","1","2023-01-26T11:08:17.224Z","99","904","910"
"186.251.255.189","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","211","Seanet Telecom Carazinho Eireli","31337","socks4","1003","1","2023-01-26T11:08:17.225Z","100","827","827"
"94.181.174.77","elite","AS41754","RU","CJSC \"ER-Telecom Holding\" Penza branch","65","JSC \"ER-Telecom Holding\" Penza Branch","4153","socks5","407","1","2023-01-26T11:08:17.106Z","98","845","864"
"87.236.232.231","elite","AS35656","JO","Jordanian Universities Network L.L.C.","81","N/A","8080","socks5","926","1","2023-01-26T11:08:17.948Z","100","900","900"
"118.68.218.212","elite","AS18403","VN","FPT Telecom Company","202","FPTDYNAMICIP","8080","socks4","1120","1","2023-01-26T11:08:17.095Z","99","899","910"
"160.226.132.33","anonymous","AS328178","ZA","The Computer Hut","208","N/A","8080","http","1156","541","2023-01-26T11:08:17.638Z","75","600","799"
"177.38.245.108","elite","AS52974","BR","Henet Telecomunicacoes Ltda","205","Ricardo Dias Monteiro","55713","socks4","751","1","2023-01-26T11:08:17.231Z","26","227","877"
"36.67.26.105","elite","AS7713","ID","PT. Telekomunikasi Indonesia","229","N/A","4153","socks4","909","1","2023-01-26T11:08:17.637Z","53","472","898"
"151.106.4.179","elite","AS29066","FR","Host Europe GmbH","18","Brady Collins","30092","socks4","223","1","2023-01-26T11:08:17.101Z","100","858","859"
"186.251.255.17","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","213","Seanet Telecom Carazinho Eireli","31337","socks4","1019","1","2023-01-26T11:08:17.224Z","100","910","913"
"202.182.57.30","anonymous","AS24213","ID","PT. Arsen Kusuma Indonesia","193","N/A","8080","http","309","507","2023-01-26T11:08:17.424Z","99","864","873"
"172.98.21.100","elite","AS7018","US","AT&T Services, Inc.","89","Bunny Technology LLC","10001","socks4","506","2","2023-01-26T11:08:17.646Z","97","852","876"
"82.206.131.62","elite","AS22351","GB","Intelsat Global Service Corporation","608","Intelsat Global Sales & Marketing LTD","10801","socks4","927","1","2023-01-26T11:08:17.637Z","94","843","901"
"212.83.143.97","elite","AS12876","FR","Online S.A.S.","0","ONLINE","62728","socks4","890","1","2023-01-26T11:08:17.949Z","100","837","838"
"45.76.9.121","elite","AS20473","US","The Constant Company","85","Vultr Holdings, LLC","11324","socks5","1216","1","2023-01-26T11:08:16.704Z","86","685","794"
"177.105.68.212","elite","AS262637","BR","Netprimus Tecnologia Ltda","186","Netprimus Tecnologia Ltda","4153","socks4","1148","1","2023-01-26T11:08:16.261Z","100","913","916"
"177.203.48.179","elite","AS8167","BR","V tal","254","Brasil Telecom S/A - Filial Distrito Federal","4145","socks4","1112","22","2023-01-26T11:08:16.537Z","100","873","876"
"176.192.70.58","elite","AS12714","RU","Net By Net Holding LLC","54","Net By Net Holding LLC","8001","http","913","529","2023-01-26T11:08:16.716Z","97","775","800"
"200.212.2.125","elite","AS4230","BR","Claro S.A.","204","Claro S.A","61283","socks4","1133","1","2023-01-26T11:08:16.931Z","99","908","916"
"154.29.227.162","elite","AS46261","US","QuickPacket, LLC","79","Aventice LLC","8081","socks4","1170","5","2023-01-26T11:08:16.929Z","99","841","849"
"8.210.150.195","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","265","Alibaba.com Singapore E-Commerce Private Limited","26666","socks5","820","1","2023-01-26T11:08:16.292Z","90","723","800"
"177.38.5.51","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","225","FÁBIO MENDES DIAS LTDA ME","4153","socks4","840","1","2023-01-26T11:08:16.837Z","89","796","897"
"192.12.113.249","elite","AS266144","BR","Rosana Ferreira da Silva Multimidia ME","163","Rosana Ferreira da Silva Multimidia ME","4145","socks4","1190","1","2023-01-26T11:08:16.705Z","34","309","915"
"104.17.132.79","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","419","1","2023-01-26T11:08:16.885Z","100","796","796"
"118.69.62.229","elite","AS18403","VN","FPT Telecom Company","201","Vietnam Internet Network Information Center","5678","socks4","773","1","2023-01-26T11:08:16.950Z","98","878","899"
"91.216.66.70","elite","AS197052","RU","IP Nikolay Yankovskiy","46","IP Nikolay Yankovskiy","47658","socks4","965","1","2023-01-26T11:08:16.713Z","99","910","917"
"114.116.246.230","elite","AS55990","CN","Huawei Cloud Service data center","157","Huawei Public Cloud Service","1080","socks5","744","1","2023-01-26T11:08:16.886Z","98","898","916"
"5.1.104.67","elite","AS198735","IQ","HRiNS network","90","HRiNS For","33041","socks4","892","1","2023-01-26T11:08:16.539Z","100","916","916"
"178.218.201.63","elite","AS59668","UZ","PE Turon Media","102","first IP Network of ISP Turon Telecom","1080","socks4","1164","1","2023-01-26T11:08:16.930Z","86","786","912"
"5.189.130.207","elite","AS51167","DE","Contabo GmbH","17","Contabo GmbH","10036","socks4","557","1","2023-01-26T11:08:16.840Z","96","798","834"
"111.225.153.169","elite","AS4134","CN","Chinanet","205","Chinanet HE","8089","socks4","1201","1","2023-01-26T11:08:16.705Z","74","590","799"
"187.157.153.214","elite","AS8151","MX","Uninet S.A. de C.V.","189","Uninet S.A. de C.V.","5678","socks4","1146","1","2023-01-26T11:08:16.707Z","100","912","916"
"174.75.211.194","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications","4145","socks4","1131","1","2023-01-26T11:08:16.262Z","86","713","829"
"61.178.94.23","elite","AS4134","CN","Chinanet","194","N/A","7302","socks5","879","1","2023-01-26T11:08:16.284Z","97","809","835"
"169.239.236.27","elite","AS327986","NG","Gutti Global Networks","135","Gutti Global Networks","45003","socks4","1178","1","2023-01-26T11:08:16.536Z","21","180","877"
"158.58.134.15","elite","AS47586","RU","Dmitriy V. Kozmenko","77","Business-Svyaz LTD","5678","socks4","1018","1","2023-01-26T11:08:15.741Z","84","689","819"
"47.254.253.54","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","156","Alibaba.com LLC","42670","socks4","850","1","2023-01-26T11:08:15.186Z","77","664","867"
"195.210.172.43","elite","AS8359","RU","MTS PJSC","56","InterneyshenelHouse","58350","socks4","974","1","2023-01-26T11:08:15.763Z","100","914","915"
"103.93.177.250","elite","AS133647","IN","Elxire Data Services Pvt. Ltd.","177","Zipcomp","5678","socks4","902","1","2023-01-26T11:08:15.996Z","94","818","869"
"95.179.155.218","elite","AS20473","NL","The Constant Company","13","Vultr Holdings LLC Amsterdam","8080","socks4","907","1","2023-01-26T11:08:15.183Z","100","826","827"
"51.83.116.4","elite","AS16276","FR","OVH SAS","5","OVH","17105","socks4","1038","1","2023-01-26T11:08:15.739Z","100","826","826"
"1.55.241.4","elite","AS18403","VN","FPT Telecom Company","198","FPTDYNAMICIP","4145","socks4","937","1","2023-01-26T11:08:15.764Z","99","904","915"
"203.215.181.220","elite","AS17787","PK","Pakistan Software Export Board","149","Pakistan Software","36342","socks4","988","1","2023-01-26T11:08:15.213Z","100","881","884"
"103.130.112.253","elite","AS138336","BD","The Potato","195","N/A","5678","socks4","971","1","2023-01-26T11:08:15.214Z","86","787","915"
"118.174.46.144","elite","AS131293","TH","TOT Public Company Limited","182","TOT Public Company Limited","45330","socks4","1045","1","2023-01-26T11:08:15.464Z","95","849","893"
"103.94.133.92","elite","AS136128","ID","PT CITRA AKSES INDONUSA","188","PT CITRA AKSES INDONUSA","4153","socks4","954","1","2023-01-26T11:08:15.744Z","99","909","916"
"190.109.72.238","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","187","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","996","1","2023-01-26T11:08:15.742Z","98","850","863"
"106.240.89.60","elite","AS3786","KR","LG DACOM Corporation","276","Boranet","4145","socks4","838","1","2023-01-26T11:08:15.186Z","100","878","882"
"170.78.98.53","elite","AS266269","BR","MV TELECOM","181","MV TELECOM","5678","socks4","1148","1","2023-01-26T11:08:15.221Z","100","857","858"
"203.30.188.247","elite","AS209242","BZ","Cloudflare London","2","Umpire Associates LTD","80","socks5","955","1","2023-01-26T11:08:15.991Z","100","913","914"
"5.9.100.151","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30000","socks4","944","1","2023-01-26T11:08:15.995Z","100","832","832"
"182.253.182.38","elite","AS17451","ID","BIZNET","202","N/A","5678","socks4","946","1","2023-01-26T11:08:15.745Z","95","759","799"
"186.126.71.44","elite","AS7303","AR","Telecom Argentina S.A.","557","Telecom Personal Bs","1080","socks5","1157","1","2023-01-26T11:08:15.217Z","33","292","876"
"167.172.23.19","elite","AS14061","US","DigitalOcean, LLC","79","DigitalOcean, LLC","64065","socks5","1052","1","2023-01-26T11:08:15.463Z","99","909","915"
"157.185.176.44","elite","AS54994","US","Quantil Networks Inc","93","Quantil Networks Inc","26589","socks5","1134","1","2023-01-26T11:08:15.216Z","99","785","793"
"105.213.74.62","elite","AS16637","ZA","MTN SA","186","MTN SA","5678","socks4","831","1","2023-01-26T11:08:15.187Z","99","890","900"
"103.199.97.17","elite","AS45804","IN","New Shivam Cable Network","249","N/A","39825","socks4","1004","1","2023-01-26T11:08:15.742Z","97","856","881"
"154.201.25.238","elite","AS135357","US","HK Zhao Heng Resources Administration Limited","292","HK Zhao Heng Resources Administration Limited","30001","socks4","875","1","2023-01-26T11:08:15.184Z","100","838","842"
"118.179.87.170","elite","AS23956","BD","Dhakacom Limited","176","AmberIT","5678","socks4","975","1","2023-01-26T11:08:15.465Z","96","878","912"
"162.247.243.167","elite","AS54113","US","Fastly, Inc.","1","New Relic","80","socks4","1125","1","2023-01-26T11:08:14.582Z","88","789","900"
"190.2.153.31","elite","AS49981","NL","WorldStream B.V.","11","WorldStream B.V","9050","socks5","924","1","2023-01-26T11:08:14.579Z","100","915","915"
"175.100.72.95","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","356","Viettel (cambodia) Pte., Ltd.","55360","socks4","914","1","2023-01-26T11:08:14.893Z","93","741","796"
"172.98.170.52","elite","AS33083","US","AxcelX Technologies LLC","71","BraveWay LLC","42169","socks5","905","1","2023-01-26T11:08:14.249Z","100","867","867"
"51.15.112.216","elite","AS12876","NL","SCALEWAY","13","N/A","14461","socks4","1231","1","2023-01-26T11:08:14.970Z","100","913","916"
"80.81.232.145","elite","AS21019","SK","S.A. NET","28","Zmnet SA","5678","socks4","900","1","2023-01-26T11:08:14.893Z","99","830","842"
"213.149.156.87","elite","AS39184","BG","UltraNET Ltd","38","VIM TV Ltd","5678","socks4","1179","1","2023-01-26T11:08:14.968Z","100","910","911"
"199.195.253.35","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30637","socks4","1011","1","2023-01-26T11:08:14.262Z","98","835","855"
"188.124.36.212","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","41","N/A","23525","socks4","1157","1","2023-01-26T11:08:14.592Z","100","901","901"
"69.163.162.211","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","46007","socks4","886","1","2023-01-26T11:08:14.249Z","100","856","856"
"185.169.181.18","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","922","1","2023-01-26T11:08:14.249Z","100","908","909"
"217.197.151.182","elite","AS34093","CZ","PREROV","37","N/A","5678","socks4","949","1","2023-01-26T11:08:14.890Z","100","911","915"
"202.55.175.237","elite","AS17769","ID","PT Indopratama Teleglobal (ISP)Wisma BSG Floor 6","168","Citynet","1080","socks4","932","1","2023-01-26T11:08:14.248Z","98","898","913"
"172.67.187.242","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1026","1","2023-01-26T11:08:14.261Z","100","916","916"
"194.146.110.211","elite","AS29496","UA","Link-Service Ltd.","41","Link-Service Ltd.","8888","socks4","947","1","2023-01-26T11:08:14.247Z","98","811","829"
"123.253.97.89","elite","AS59362","BD","Md Rezaul Karim","156","Sun Cybercafe","8080","socks4","1080","1","2023-01-26T11:08:14.265Z","99","907","915"
"213.32.91.205","elite","AS16276","FR","OVH SAS","11","OVH","3128","socks4","891","1","2023-01-26T11:08:13.485Z","100","808","808"
"109.127.82.126","elite","AS21277","IQ","Newroz Telecom","96","N/A","8080","http","1029","495","2023-01-26T11:08:13.161Z","98","820","839"
"139.5.132.105","elite","AS138024","BD","Net Plus Online","788","Geotel Bangladesh IT Ltd","4153","socks4","1074","1","2023-01-26T11:08:13.459Z","99","898","911"
"183.81.153.153","elite","AS24527","ID","Internet Service Provider","177","POP Bogor","5678","socks4","1010","1","2023-01-26T11:08:13.873Z","99","906","912"
"212.126.5.245","elite","AS8364","PL","Institute of Bioorganic Chemistry Polish Academy of Science","27","Pozman ZOO","42344","socks4","1098","1","2023-01-26T11:08:13.458Z","100","912","914"
"114.242.116.59","elite","AS4808","CN","China Unicom Beijing province network","298","N/A","4145","socks4","977","1","2023-01-26T11:08:13.874Z","99","900","910"
"181.65.121.34","elite","AS6147","PE","TDP-GRS","166","PE-TDP-GRS","8080","socks4","1213","1","2023-01-26T11:08:13.140Z","100","797","797"
"213.172.89.227","elite","AS13099","AZ","AzEuroTel Telecommunications J.V","92","Azertelecom LLC","4153","socks4","940","1","2023-01-26T11:08:13.158Z","99","910","915"
"173.249.2.150","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","57725","socks4","1055","1","2023-01-26T11:08:13.871Z","100","800","801"
"103.240.33.209","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","193","Vihaan","8291","socks4","1062","1","2023-01-26T11:08:13.459Z","99","906","916"
"88.99.191.147","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","9050","socks4","1230","1","2023-01-26T11:08:13.139Z","100","903","903"
"117.54.201.93","elite","AS9340","ID","PT IndoInternet","184","N/A","5678","socks4","1205","1","2023-01-26T11:08:13.140Z","99","900","910"
"104.16.106.154","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","916","1","2023-01-26T11:08:13.482Z","100","838","838"
"85.240.180.190","elite","AS3243","PT","PT Comunicacoes S.A.","33","PT Comunicacoes S.A.","5678","socks4","1028","1","2023-01-26T11:08:13.872Z","94","849","899"
"47.113.189.83","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","216","Aliyun Computing Co., LTD","10012","socks4","883","1","2023-01-26T11:08:13.486Z","75","661","876"
"5.56.133.132","elite","AS50673","AE","Serverius","11","Kako Host Communications Inc.","3128","http","1122","607","2023-01-26T11:08:12.352Z","95","758","800"
"216.154.201.132","elite","AS20141","US","Quality Technology Services","92","Crown Tech Computer Services","54321","socks4","1215","1","2023-01-26T11:08:12.334Z","100","861","861"
"105.213.132.15","elite","AS16637","ZA","MTN SA","181","MTN SA","5678","socks4","1226","1","2023-01-26T11:08:12.337Z","98","857","878"
"103.93.177.97","elite","AS133647","IN","Elxire Data Services Pvt. Ltd.","177","Zipcomp","5678","socks4","854","1","2023-01-26T11:08:12.352Z","83","762","915"
"203.159.92.199","elite","AS56309","TH","Siamdata Communication Co., ltd.","237","ReadyIDC Co., Ltd","3080","socks5","965","1","2023-01-26T11:08:12.349Z","97","874","905"
"91.93.143.14","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","67","Superonline Iletisim Hizmetleri","4153","socks4","1275","1","2023-01-26T11:08:12.820Z","100","910","912"
"27.128.206.18","elite","AS4134","CN","Chinanet","214","Chinanet HE","7302","socks5","1164","1","2023-01-26T11:08:12.824Z","97","884","910"
"104.207.144.254","elite","AS20473","US","The Constant Company","101","Vultr Holdings, LLC","8118","socks5","1267","1","2023-01-26T11:08:12.820Z","99","840","851"
"91.244.69.154","elite","AS59593","UA","PE Season Service","55","PE Season Service","5678","socks4","1287","1","2023-01-26T11:08:12.819Z","66","523","797"
"128.199.93.105","elite","AS14061","SG","DigitalOcean, LLC","175","DigitalOcean, LLC","24115","socks4","1003","1","2023-01-26T11:08:12.575Z","96","829","868"
"38.113.171.1","elite","AS174","CA","Cogent Communications","92","eTor Networks","31596","socks4","1057","1","2023-01-26T11:08:12.573Z","100","914","915"
"197.235.15.249","elite","AS37223","MZ","VM  S.A","337","VM S.A","4153","socks4","1183","4","2023-01-26T11:08:12.338Z","48","439","916"
"177.107.217.112","elite","AS263506","BR","NTCNET Provedores de Acesso a Internet Ltda","257","NTCNET Provedores de Acesso a Internet Ltda","4145","socks4","1159","1","2023-01-26T11:08:12.545Z","99","865","875"
"112.74.104.232","elite","AS37963","CN","Addresses CNNIC","209","Aliyun Computing Co., LTD","8888","http","1086","602","2023-01-26T11:08:12.353Z","93","738","796"
"157.119.224.117","elite","AS59169","IN","Kngd Infosys PVT LTD","178","Kngd Infosys PVT LTD","4145","socks4","1048","1","2023-01-26T11:08:12.573Z","92","798","870"
"103.115.255.1","elite","AS137868","BD","Star Internet Service","196","Md. Murad Hossain Ripon","36331","socks4","1040","1","2023-01-26T11:08:12.574Z","96","789","818"
"198.8.94.174","elite","AS46562","US","Performive LLC","134","Total Server Solutions L.L.C","39078","socks5","1018","1","2023-01-26T11:08:12.348Z","96","767","801"
"70.90.67.137","elite","AS7922","US","Comcast Cable Communications, LLC","125","Comcast Cable Communications, LLC","54321","socks4","1248","1","2023-01-26T11:08:12.821Z","96","875","915"
"159.89.138.130","elite","AS14061","US","DigitalOcean, LLC","146","Digital Ocean","80","socks4","864","1","2023-01-26T11:08:12.840Z","100","809","809"
"92.255.172.214","elite","AS41682","RU","CJSC \"ER-Telecom Holding\" Tyumen' branch","67","CJSC \"ER-Telecom Holding\" Tyumen branch","8080","socks5","1174","1","2023-01-26T11:08:12.336Z","100","808","809"
"185.66.228.149","elite","AS201689","IR","Lamerd Information & Communication Technology Co., ltd","128","N/A","4145","socks4","914","1","2023-01-26T11:08:12.567Z","91","831","915"
"103.70.159.132","elite","AS133720","IN","speednet","132","N/A","5678","socks4","1190","1","2023-01-26T11:08:12.335Z","99","893","904"
"103.70.204.65","elite","AS135712","IN","Euron Communications Pvt. Ltd","226","Euron Communications Pvt. Ltd.","59311","socks4","1155","1","2023-01-26T11:08:12.825Z","99","880","885"
"104.218.198.168","elite","AS20454","US","Secured Servers LLC","142","BraveWay","50223","socks5","1020","1","2023-01-26T11:08:12.574Z","100","867","870"
"95.182.78.4","elite","AS50648","UA","PE UAinet","55","PE UAinet","5678","socks4","1259","1","2023-01-26T11:08:12.821Z","98","861","882"
"182.253.166.170","elite","AS17451","ID","BIZNET","190","N/A","5678","socks4","1183","1","2023-01-26T11:08:12.823Z","97","888","916"
"203.34.28.166","elite","AS209242","VG","Cloudflare London, LLC","1","Anaga Consulting Limited","80","socks4","1072","1","2023-01-26T11:08:12.838Z","100","897","898"
"177.125.206.157","elite","AS262346","BR","FP Telecomunicacoes Ltda","207","FP Telecomunicacoes Ltda","4145","socks4","1222","1","2023-01-26T11:08:11.377Z","73","601","819"
"134.236.60.28","elite","AS131090","TH","CAT-BB","195","N/A","8080","socks4","1212","1","2023-01-26T11:08:11.355Z","42","338","800"
"186.1.7.13","elite","AS18840","NI","Equipos Y Sistemas S.A.","144","Equipos Y Sistemas S.A","4153","socks4","1190","1","2023-01-26T11:08:11.144Z","99","893","900"
"185.32.47.145","elite","AS200154","AZ","Izone LLC","85","IZONE Broadband Services","4153","socks4","1222","1","2023-01-26T11:08:11.663Z","100","879","881"
"173.255.202.28","elite","AS63949","US","Linode, LLC","117","Linode","39319","socks5","1108","1","2023-01-26T11:08:11.685Z","99","793","798"
"45.7.177.210","elite","AS266626","BR","Litoral Telecom","197","Litoral Telecom","39867","socks4","1302","1","2023-01-26T11:08:11.122Z","99","874","881"
"116.90.208.151","elite","AS38502","ID","PT Multi Data Palembang","197","N/A","5678","socks4","1256","1","2023-01-26T11:08:11.124Z","98","895","916"
"1.0.154.228","elite","AS23969","TH","TOT Public Company Limited","160","TOT Public Company Limited","4145","socks4","1173","1","2023-01-26T11:08:11.144Z","62","493","798"
"128.199.222.43","anonymous","AS14061","SG","DigitalOcean, LLC","172","DigitalOcean, LLC","3128","http","1238","1561","2023-01-26T11:08:11.686Z","99","893","899"
"69.163.162.253","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","20676","socks5","1223","1","2023-01-26T11:08:11.355Z","100","910","911"
"139.60.231.35","elite","AS62642","US","Bigleaf Networks","162","ITDreamwire, LLC","47255","socks4","1201","1","2023-01-26T11:08:11.355Z","94","803","852"
"213.186.202.149","elite","AS6703","UA","PRIVATE JOINT-STOCK COMPANY \"FARLEP-INVEST\"","40","VEGA TG","5678","socks4","1230","1","2023-01-26T11:08:11.663Z","53","458","863"
"170.238.180.21","elite","AS266331","BR","Global Net Informatica Ltda","215","Global Net Informatica Ltda","4145","socks4","1256","1","2023-01-26T11:08:11.353Z","99","835","840"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","179","N/A","38801","socks4","1293","1","2023-01-26T11:08:11.661Z","93","776","835"
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","184","DhakaCom Limited","5678","socks4","1240","1","2023-01-26T11:08:11.142Z","96","875","911"
"85.214.94.105","elite","AS6724","DE","Strato AG","23","Strato AG","12126","socks4","994","1","2023-01-26T11:08:11.971Z","100","833","834"
"199.195.249.15","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30085","socks4","1113","1","2023-01-26T11:08:11.967Z","100","873","875"
"46.174.234.96","elite","AS15874","PL","Interkam Szczepanik Spolka Komandytowa","45","Interkam Szczepanik Spolka Komandytowa","5678","socks4","1244","1","2023-01-26T11:08:11.354Z","99","874","880"
"103.78.54.10","elite","AS135654","BD","Internet @ Home Limited","182","N/A","4153","socks4","1285","1","2023-01-26T11:08:11.662Z","88","789","898"
"157.185.161.100","elite","AS54994","US","Quantil Networks Inc","137","Quantil Networks Inc","26589","socks5","1196","1","2023-01-26T11:08:11.370Z","100","791","794"
"200.152.107.102","elite","AS21571","BR","MLS Wireless S/A","208","MLS Projetos de Informatica","1080","socks5","1165","1","2023-01-26T11:08:11.378Z","98","778","794"
"104.19.5.247","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1292","1","2023-01-26T11:08:10.000Z","100","875","875"
"67.205.2.25","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","39852","socks5","1217","1","2023-01-26T11:08:10.777Z","95","794","838"
"174.108.154.193","elite","AS11426","US","Spectrum","106","Fastlink Communications","32940","socks4","1260","1","2023-01-26T11:08:10.738Z","100","914","915"
"114.141.61.2","elite","AS38772","ID","PT. Smartlink Global Media.","182","N/A","4145","socks4","1238","1","2023-01-26T11:08:10.353Z","99","909","915"
"177.38.5.172","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","222","FÁBIO MENDES DIAS LTDA ME","4153","socks4","1258","1","2023-01-26T11:08:10.008Z","97","818","842"
"61.182.224.169","elite","AS4837","CN","CNC Group CHINA169 Hebei Province Network","179","N/A","7300","socks5","1280","1","2023-01-26T11:08:10.002Z","99","888","893"
"202.157.76.67","anonymous","AS17753","IN","Data Infosys Ltd","163","N/A","3129","http","1269","781","2023-01-26T11:08:10.359Z","100","796","798"
"165.165.134.1","elite","AS5713","ZA","Telkom SA Ltd.","189","Telkom SA Limited","4153","socks4","1083","1","2023-01-26T11:08:10.320Z","99","864","870"
"36.37.104.99","elite","AS4800","ID","LINTASARTA","225","N/A","34040","socks4","1130","1","2023-01-26T11:08:10.319Z","99","810","818"
"155.225.2.72","elite","AS53257","US","The Citadel","97","The Citadel","3127","socks4","1268","1","2023-01-26T11:08:10.007Z","100","873","875"
"80.63.84.58","anonymous","AS3292","DK","TDC A/S","27","TDC Tele Danmark","8081","http","1104","775","2023-01-26T11:08:10.320Z","100","797","797"
"1.116.73.168","elite","AS45090","CN","China Internet Network Information Center","182","Tencent cloud computing (Beijing) Co., Ltd.","8989","socks5","1197","1","2023-01-26T11:08:10.358Z","96","867","902"
"117.186.40.30","elite","AS24400","CN","China Mobile communications corporation","243","China Mobile","1080","socks4","1247","1","2023-01-26T11:08:10.352Z","98","859","877"
"193.106.231.145","elite","AS50767","PL","FIBERLINK Sp. z o.o.","25","FIBERLINK Sp z o.o.","4145","socks4","1235","2","2023-01-26T11:08:10.739Z","100","914","916"
"162.255.108.225","elite","AS54755","US","Desert Winds Wireless","150","Desert Winds Wireless Inc","5678","socks4","1031","1","2023-01-26T11:08:09.984Z","100","913","915"
"203.77.240.74","elite","AS9228","ID","PT. Total Info Kharisma","217","Centralonline","4145","socks4","1086","1","2023-01-26T11:08:09.627Z","89","801","899"
"45.7.177.255","elite","AS266626","BR","Litoral Telecom","197","Litoral Telecom","39867","socks4","964","1","2023-01-26T11:08:09.986Z","99","825","833"
"103.78.54.67","elite","AS135654","BD","Internet @ Home Limited","179","N/A","4153","socks4","1070","1","2023-01-26T11:08:09.628Z","87","796","916"
"185.204.197.25","elite","AS60631","IR","Pars Parva System LLC","91","Pars Parva System LLC","8080","socks4","1274","1","2023-01-26T11:08:09.646Z","97","779","804"
"31.128.248.1","elite","AS208139","UA","ISP Avator","40","\"Merlin-Telekom\" LLC","1080","socks5","1303","1","2023-01-26T11:08:09.653Z","96","867","904"
"170.80.91.12","elite","AS264820","CR","Corebases S.A","160","Corebases S.A","4145","socks4","996","1","2023-01-26T11:08:09.985Z","99","902","912"
"103.247.121.115","anonymous","AS55666","ID","PT Media Sarana Data","181","Gmedia ID Bali","8080","http","1122","799","2023-01-26T11:08:09.237Z","100","798","800"
"104.16.108.149","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1288","1","2023-01-26T11:08:09.648Z","100","810","810"
"179.40.75.1","elite","AS22927","AR","Telefonica de Argentina","239","Telefonica de Argentina","61362","socks4","1130","1","2023-01-26T11:08:09.204Z","99","900","913"
"43.134.238.25","elite","AS132203","SG","Aceville Pte.ltd","229","N/A","443","socks4","1233","1","2023-01-26T11:08:09.654Z","88","769","873"
"38.127.172.18","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","11537","socks5","1311","1","2023-01-26T11:08:09.653Z","100","854","856"
"1.32.57.85","elite","AS4788","MY","Telekom Malaysia Berhad","156","N/A","5678","socks4","1013","1","2023-01-26T11:08:09.985Z","100","913","915"
"159.223.112.221","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","13988","socks4","1251","1","2023-01-26T11:08:08.875Z","70","591","841"
"103.83.232.122","elite","AS136215","BD","Mohammad Masfiequr Rahaman & Rony Saha T/A SB NETWORK","200","N/A","80","http","1052","770","2023-01-26T11:08:08.870Z","99","793","800"
"108.175.24.1","elite","AS33258","US","Computer Solutions","114","Computer Solutions","13135","socks4","1185","1","2023-01-26T11:08:08.056Z","99","903","916"
"46.101.37.189","elite","AS14061","GB","DigitalOcean, LLC","12","Digitalocean","7497","socks5","1243","1","2023-01-26T11:08:08.877Z","100","866","866"
"82.117.204.174","elite","AS31042","RS","Serbia BroadBand","31","N/A","5678","socks4","1055","1","2023-01-26T11:08:08.498Z","100","836","840"
